APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,lon,lat,Property on map
2328013053,1/3/2022 0:00,Multi-Family,13611 W VANOWEN ST,VAN NUYS,CA,91405,2,Liberty Bank,Paul Alexander,805-760-0408,"Archways Real Estate Service, Inc",Rusty Heyman,30101   AGOURA COURT SUITE 208   Agoura Hills CA 91301,818-292-8728,-118.42928,34.19408,POINT (-118.42928 34.19408)
2761017028,3/31/2022 0:00,Single Family,9717 N OAKDALE AVE,LOS ANGELES,CA,91311,12,LoanCare,ERIC MOORE,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.56702,34.24671,POINT (-118.56702 34.24671)
5503024129,1/10/2022 0:00,Single Family,525 S ARDMORE AVE,LOS ANGELES,CA,90020,10,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.30177,34.06525,POINT (-118.30177 34.06525)
2315024031,11/14/2022 0:00,Single Family,11151 W LEADWELL ST,LOS ANGELES,CA,91352,2,2nd Chance Mortgages Inc.,Belle Baca,951-534-8898,2nd Chance Mortgages Inc.,Belle Baca,23580   Allesandro BLVD 9818 Moreno Valley CA 92553,951-534-8898,-118.37427,34.20403,POINT (-118.37427 34.20403)
5174021006,1/27/2022 0:00,Single Family,1430 E PENNSYLVANIA AVE,LOS ANGELES,CA,90033,14,United Capital Group,Karen Le,909-538-6289,United Capital Group,Karen Le,8051   Lomas CT  Fontana CA 92336,909-538-6289,-118.22086,34.05021,POINT (-118.22086 34.05021)
2132017008,12/27/2022 0:00,Single Family,19642 W FRIAR ST,LOS ANGELES,CA,91335,3,Selene Finance LP,Eric Moore,877-338-3791,SERVICELINK,CLIENT SERVICES,11802   Ridge PKWY 100 Broomfield CO 80021,877-847-8544,-118.56153,34.18548,POINT (-118.56153 34.18548)
5457013022,12/9/2022 0:00,Single Family,2662 W AVENUE 32,LOS ANGELES,CA,90065,1,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.23885,34.11035,POINT (-118.23885 34.11035)
2701063245,4/26/2022 0:00,Single Family,20069 W PIENZA LANE,LOS ANGELES,CA,91326,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.57383,34.28025,POINT (-118.57383 34.28025)
2669020027,9/30/2022 0:00,Single Family,10038 N GAVIOTA AVE,LOS ANGELES,CA,91343,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.48257,34.25314,POINT (-118.48257 34.25314)
6121017022,10/12/2022 0:00,Single Family,756 W 173RD PL,LOS ANGELES,CA,90247,15,US Bank as Trustee of the LSF9 Master Participation Trust,Ryan Curran,800-516-1553,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.28999,33.87362,POINT (-118.28999 33.87362)
6075014020,12/2/2022 0:00,Single Family,621 W 113TH ST,LOS ANGELES,CA,90044,8,PHH Mortgage Corp,Erin Hill,866-503-5559,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,800-639-2151,-118.2856,33.93206,POINT (-118.2856 33.93206)
2682024007,5/2/2022 0:00,Single Family,11247 N RUFFNER AVE,LOS ANGELES,CA,91344,12,Gregory Funding,MARCUS BROWN,866-712-5698,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.49791,34.27519,POINT (-118.49791 34.27519)
7413014022,1/4/2022 0:00,Single Family,1078 W 252ND ST,LOS ANGELES,CA,90710,15,PHH Mortgage Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.29547,33.79564,POINT (-118.29547 33.79564)
2148011018,1/4/2022 0:00,Single Family,20629 W ARCHWOOD ST,LOS ANGELES,CA,91306,3,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.5831,34.19187,POINT (-118.5831 34.19187)
7410027060,11/29/2022 0:00,Multi-Family,1340 1/2 W 254TH ST,LOS ANGELES,CA,90710,15,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.30045,33.79368,POINT (-118.30045 33.79368)
5555017006,3/20/2022 0:00,Single Family,8409 W CARLTON WAY,LOS ANGELES,CA,90069,4,Iridium LLC,Fred Doctorovich,310-994-2569,NULL,NULL,,NULL,-118.37488,34.09858,POINT (-118.37488 34.09858)
5486017007,8/29/2022 0:00,Multi-Family,6612 N FIGUEROA ST,LOS ANGELES,CA,90042,14,Real Time Resolutions,DAVID ROSAS,888-895-0221,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.18461,34.12246,POINT (-118.18461 34.12246)
4260037070,5/2/2022 0:00,Single Family,2491  PURDUE,LOS ANGELES,CA,90064,11,Selene Finance LP,Eric Moore,877-338-3791,SERVICELINK,CLIENT SERVICES,10385   Westmoor Dr 100 Westminster CO 80021,877-847-8544,-118.43905,34.03186,POINT (-118.43905 34.03186)
5189005024,2/14/2022 0:00,Multi-Family,967 S BREED ST,LOS ANGELES,CA,90023,14,Carrington Mortgage Services,code compliance,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.21819,34.03318,POINT (-118.21819 34.03318)
5569007037,8/1/2022 0:00,Single Family,7911 W OCEANUS DR,LOS ANGELES,CA,90046,4,"Evergreen Advantage, LLC",Steve Adler,818-426-3900,Evergreen Mgmt Co,Steve Adler,1424   4th ST 777 santa monica CA 90401,310-587-3500,-118.36667,34.11222,POINT (-118.36667 34.11222)
6004038019,1/4/2022 0:00,Multi-Family,5966 S FIGUEROA ST,LOS ANGELES,CA,90003,9,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.28245,33.98545,POINT (-118.28245 33.98545)
5036009020,1/28/2022 0:00,Single Family,3867 S HOBART BLVD,LOS ANGELES,CA,90062,8,Mortgage Management Consultants,Property Department,847-550-7410,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.30791,34.01538,POINT (-118.30791 34.01538)
5558008007,11/1/2022 0:00,Single Family,8872 W EVANVIEW DR,LOS ANGELES,CA,90069,4,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.38202,34.0988,POINT (-118.38202 34.0988)
6074023028,1/6/2022 0:00,Multi-Family,11222 S BROADWAY BLVD,LOS ANGELES,CA,90061,8,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.27829,33.93233,POINT (-118.27829 33.93233)
2251009006,1/5/2022 0:00,Single Family,5521 N MCLENNAN AVE,LOS ANGELES,CA,91436,4,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Property Preservation Servicing LLC,Trevethan Aaron,27071   cabot RD  LAGUNA HILLS CA 92653,949-612-0342,-118.50017,34.1714,POINT (-118.50017 34.1714)
5034002052,1/7/2022 0:00,Single Family,3890 S WESTSIDE AVE,LOS ANGELES,CA,90008,10,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.32693,34.01479,POINT (-118.32693 34.01479)
5005004012,3/23/2022 0:00,Non-Residential,2327 W 54TH ST,LOS ANGELES,CA,90043,8,"No lender, property is owned free and clear",Jerry Chen,626-234-4395,24/7 Property Management,Corbin Pitts,1055   1055 W 7th ST  Los Angeles CA 90017,323-879-1968,-118.31904,33.99337,POINT (-118.31904 33.99337)
2290007029,1/5/2022 0:00,Single Family,4949 N ENCINO AVE,LOS ANGELES,CA,91316,4,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.51448,34.16061,POINT (-118.51448 34.16061)
6019003025,1/9/2022 0:00,Single Family,1308 W 74TH ST,LOS ANGELES,CA,90044,8,Real Time Resolutions,DAVID ROSAS,888-895-0221,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.29847,33.97261,POINT (-118.29847 33.97261)
7559022008,10/18/2022 0:00,Single Family,1900 W EL REY RD,LOS ANGELES,CA,90732,15,Bank of the West,Samantha Dillon,402-918-4027,SafeGuard,Erik Byers,7887   Safeguard Cir  Valley View OH 44125,216-739-2900,-118.31759,33.74063,POINT (-118.31759 33.74063)
5001010030,7/6/2022 0:00,Single Family,5517 S HOOVER ST,LOS ANGELES,CA,90037,9,SUPERIOR LOAN SERVICING,BARRY HARARI,818-483-0027,NULL,NULL,,NULL,-118.28727,33.9918,POINT (-118.28727 33.9918)
2688013023,1/19/2022 0:00,Single Family,8816 N VALJEAN AVE,LOS ANGELES,CA,91343,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Computershare,Computershare Management,6200  S Quebec ST  Greenwood Village CO 80111,303-518-3327,-118.48717,34.23068,POINT (-118.48717 34.23068)
4226003010,10/26/2022 0:00,Multi-Family,19 E WAVE CREST AVE,VENICE,CA,90291,11,CBP Fund V LLC,Ken Wei,650-307-2900,"Capital Bridge Partners, Inc.",Ken Wei,566   566 COMMERCIAL ST  SAN FRANCISCO CA 94111,650-307-2900,-118.47553,33.99002,POINT (-118.47553 33.99002)
2201008030,11/28/2022 0:00,Single Family,17620 W BURTON ST,LOS ANGELES,CA,91325,12,PNC MORTGAGE PRESALE,JENNIFER SMITH,937-910-1887,EDWARD ZUBIA  no unit number,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.51721,34.22,POINT (-118.51721 34.22)
2582016007,1/10/2022 0:00,Single Family,13412 W ALMETZ ST,LOS ANGELES,CA,91342,7,Statebridge,Bryce Fendall,720-697-6421,"New Beginning Properties, Inc.",Jose Chavez,445  W 34th ST  San Bernardino CA 92405,877-339-8202,-118.42474,34.32734,POINT (-118.42474 34.32734)
4012020006,1/7/2022 0:00,Single Family,3415 W 76TH ST,LOS ANGELES,CA,90043,8,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.33145,33.97102,POINT (-118.33145 33.97102)
2203030006,11/8/2022 0:00,Single Family,7420 N LEESCOTT AVE,LOS ANGELES,CA,91406,6,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.50403,34.20537,POINT (-118.50403 34.20537)
6061020030,6/30/2022 0:00,Single Family,605 W 108TH ST,LOS ANGELES,CA,90044,8,BSI Financial Services,N/a N/a,866-581-4498,EDWARD ZUBIA  no unit number,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.28514,33.93838,POINT (-118.28514 33.93838)
4114004046,1/11/2022 0:00,Single Family,7551 W SHORE CLIFF DR,LOS ANGELES,CA,90045,11,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.4301,33.9649,POINT (-118.4301 33.9649)
5104014030,1/6/2022 0:00,Single Family,1189 E 54TH ST,LOS ANGELES,CA,90011,9,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.25433,33.99403,POINT (-118.25433 33.99403)
2747024045,12/5/2022 0:00,Single Family,10125  DE SOTO,LOS ANGELES,CA,91311,12,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.58875,34.25448,POINT (-118.58875 34.25448)
2266022024,11/11/2022 0:00,Single Family,4136 N DAVANA ROAD,LOS ANGELES,CA,91423,4,"Deutsche Bank National Trust Company, as Trustee",Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.43385,34.1453,POINT (-118.43385 34.1453)
5115030020,1/4/2022 0:00,Multi-Family,1139 E 43RD ST,LOS ANGELES,CA,90011,9,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,The Herac Group,Torres Rose,11030   Arrow RE  RANCHO CUCAMONGA CA 91730,909-481-1100,-118.25554,34.00589,POINT (-118.25554 34.00589)
7416001020,1/13/2022 0:00,Single Family,1327 W F ST,LOS ANGELES,CA,90744,15,MidFirst Bank,Erik Kenner,800-468-1743,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202,-118.27875,33.77658,POINT (-118.27875 33.77658)
4380016021,11/8/2022 0:00,Single Family,2033 N BEVERLY GLEN BLVD,LOS ANGELES,CA,90077,5,JPMORGAN CHASE BANK N.A.,OPERATIONS SPECIALIST,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.44628,34.10659,POINT (-118.44628 34.10659)
2581006087,12/30/2022 0:00,Single Family,12207 W VIA SANTA BARBARA,LOS ANGELES,CA,91342,7,Freedom Mortgage,Jared Huffman,855-690-5900,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.39816,34.31937,POINT (-118.39816 34.31937)
7447005009,11/9/2022 0:00,Single Family,933 W CRESTWOOD ST,SAN PEDRO,CA,90731,15,Freedom Mortgage,Shannon Powell,317-537-3714,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.29747,33.74912,POINT (-118.29747 33.74912)
2254015006,12/6/2022 0:00,Single Family,17537 W BURBANK BLVD,LOS ANGELES,CA,91316,4,Mr Cooper,Paula Acosta,888-456-0714,Cyprexx Services,CYPREXX SERVICES,8950   CYPRESS WATERS BLVD  DALLAS TX 75063,888-456-0714,-118.51545,34.17242,POINT (-118.51545 34.17242)
2216017022,11/7/2022 0:00,Single Family,6827 N RANCHITO AVE,LOS ANGELES,CA,91405,2,"JPMorgan Chase Bank, N.A.",Operations Specialist I,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.43575,34.19483,POINT (-118.43575 34.19483)
2727013007,8/13/2022 0:00,Single Family,22131 W NEEDLES ST,LOS ANGELES,CA,91311,12,Cenlar FSB,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.60937,34.24777,POINT (-118.60937 34.24777)
2027028018,1/4/2022 0:00,Single Family,7718 N MAESTRO AVE,LOS ANGELES,CA,91304,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.63955,34.2106,POINT (-118.63955 34.2106)
2671025031,3/2/2022 0:00,Single Family,15956 W VINCENNES ST,LOS ANGELES,CA,91343,12,Nationstar Mortgage,Code Violations,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202,-118.48033,34.24089,POINT (-118.48033 34.24089)
7346011003,1/24/2022 0:00,Multi-Family,1652 W 220TH ST,TORRANCE,CA,90501,15,Aztec Financial,Melanie Rivas,818-848-8960,New Beginning Properties Inc,Jose Chavez,1454   CEDAR ST  San Bernardino CA 92405,877-339-8202,-118.30827,33.82783,POINT (-118.30827 33.82783)
2414027015,7/21/2022 0:00,Single Family,10933 W KITTRIDGE ST,LOS ANGELES,CA,91606,2,Logix Federal Credit Union,Property Preservation Department,800-669-0340,EDWARD ZUBIA  no unit number,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.36932,34.19043,POINT (-118.36932 34.19043)
2523023024,3/8/2022 0:00,Single Family,11631 N HERRICK AVE,LOS ANGELES,CA,91340,7,TRIUMPH CAPITAL PARTNERS LLC,THOMAS FISHER,585-512-1018,The Herac Group,Torres Rose,11030   Arrow RE  RANCHOCUCAMONGA CA 91730,949-381-3495,-118.426,34.28148,POINT (-118.426 34.28148)
2344009023,10/7/2022 0:00,Single Family,13451 W ALBERS ST,LOS ANGELES,CA,91401,4,Chintan Kathiriya and Bhumika Kathiriya,Chintan Kathiriya,323-397-7310,Jonathan Brooks Inspection Services,Jonathan Brooks,15915   Ventura BLVD 203 Encino CA 91436,310-487-6944,-118.4262,34.17043,POINT (-118.4262 34.17043)
6030005019,11/29/2022 0:00,Single Family,162 E 81ST ST,LOS ANGELES,CA,90003,9,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.27173,33.96612,POINT (-118.27173 33.96612)
5103005016,1/7/2022 0:00,Single Family,700 E 52ND PL,LOS ANGELES,CA,90011,9,Community Loan Servicing,Eric Moore,877-338-3791,ServiceLink,Client Services,10632   Westmoor DR 100 Westminster CO 80021,877-847-8612,-118.2629,33.99491,POINT (-118.2629 33.99491)
5113003010,10/18/2022 0:00,Single Family,495 1/2 E 41ST ST,LOS ANGELES,CA,90011,9,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.26585,34.00929,POINT (-118.26585 34.00929)
5307014005,3/24/2022 0:00,Multi-Family,3927 N VAN HORNE AVE,LOS ANGELES,CA,90032,14,SN Servicing Corp,Eric Moore,877-338-3791,First Allegiance,John Concepcion,473   Broadway 5th Fl AVE  Bayonne NJ 7002,201-746-8715,-118.17147,34.09027,POINT (-118.17147 34.09027)
2075010018,10/6/2022 0:00,Single Family,22616 W AVENUE SAN LUIS,LOS ANGELES,CA,91364,3,"JPMorgan Chase Bank, N.A.",Operations Specialist I,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.61853,34.16547,POINT (-118.61853 34.16547)
