APN,Registered Date,Property Type,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone,lon,lat,Property on map
2017030023,1/11/2023,Single Family,24542 W STONEGATE DR,LOS ANGELES,CA,91304,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.65689,34.20718,POINT (-118.65689 34.20718)
2017033019,1/3/2023,Single Family,24624 W OVERLAND DR,LOS ANGELES,CA,91304,12,FlagStar,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.66015,34.20867,POINT (-118.66015 34.20867)
2020009034,1/25/2023,Single Family,23676 W JUSTICE ST,LOS ANGELES,CA,91304,12,"Mr. Cooper/Nationstar Mortgage, LLC.",Mr. Cooper,888-456-0714,"Solid Foundation Properties, LLC.",Compliance Team,2690   Cobb PKWY A5379 SMYRNA GA 30080,333-205-7447,-118.64341,34.21677,POINT (-118.64341 34.21677)
2020010022,2/10/2023,Single Family,23774 W BURTON ST,LOS ANGELES,CA,91304,12,FREEDOM MORTGAGE SERVICES,BYRON GLADDEN,866-563-1100,Assero Services,Mayra Duprey,60   Blacksmith RD  Newtown PA 18940,866-832-1711,-118.64578,34.21839,POINT (-118.64578 34.21839)
2022020011,3/13/2023,Single Family,7206 N SAUSALITO AVE,LOS ANGELES,CA,91307,12,CARRINGTON MORTGAGE SERVICES LLC,MORTGAGE SERVICES,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.6159,34.20125,POINT (-118.6159 34.20125)
2022023003,1/3/2023,Single Family,7349 N SHOUP AVE,LOS ANGELES,CA,91307,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.61488,34.20413,POINT (-118.61488 34.20413)
2023010026,1/12/2023,Single Family,22143 W CANTLAY ST,LOS ANGELES,CA,91303,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.60962,34.20209,POINT (-118.60962 34.20209)
2023021019,1/3/2023,Single Family,22314 W COHASSET ST,LOS ANGELES,CA,91303,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.61295,34.2065,POINT (-118.61295 34.2065)
2024036012,1/18/2023,Single Family,6849 N NITA AVE,LOS ANGELES,CA,91303,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.61383,34.19514,POINT (-118.61383 34.19514)
2026018015,1/3/2023,Single Family,6916 N BOBBYBOYAR AVE,LOS ANGELES,CA,91307,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.63241,34.19508,POINT (-118.63241 34.19508)
2027013031,1/3/2023,Single Family,7250 N PONDERA CIR,LOS ANGELES,CA,91307,12,FlagStar,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.64245,34.20215,POINT (-118.64245 34.20215)
2027028018,1/3/2023,Single Family,7718 N MAESTRO AVE,LOS ANGELES,CA,91304,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.63955,34.2106,POINT (-118.63955 34.2106)
2027035009,1/12/2023,Single Family,23768 W POSEY LANE,LOS ANGELES,CA,93063,12,"Deutsche Bank National Trust Company, as Trustee",Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.64645,34.20882,POINT (-118.64645 34.20882)
2028012015,1/16/2023,Single Family,23601 W VANOWEN ST,LOS ANGELES,CA,91307,12,Gregory Funding,MARCUS BROWN,866-712-5698,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.64051,34.19337,POINT (-118.64051 34.19337)
2028020001,3/10/2023,Single Family,23470 W BALMORAL LANE,LOS ANGELES,CA,91307,12,JPMORGAN CHASE BANK N.A.,OPERATIONS SR SPECIALIST I,888-310-1506,MORTGAGE CONTRACTING SERVICES LLC,CODE COMPLIANCE,350   Highland DR 100 Lewisville TX 75067,866-563-1100,-118.63879,34.19797,POINT (-118.63879 34.19797)
2031002109,2/10/2023,Single Family,6825 N VALLEY CIRCLE BLVD,LOS ANGELES,CA,91307,3,PNC MORTGAGE,MARIA CROSS,937-913-7352,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.65831,34.19647,POINT (-118.65831 34.19647)
2032010018,1/9/2023,Single Family,24701 W CALVERT ST,LOS ANGELES,CA,91367,3,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,"Point of View Preservation, LLC",Brandon cole,3911   Cleveland Ave AVE  SAN DIEGO CA 92103,512-710-9808,-118.66314,34.18338,POINT (-118.66314 34.18338)
2032026053,1/11/2023,Single Family,24756 W EILAT ST,LOS ANGELES,CA,91367,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.66477,34.17728,POINT (-118.66477 34.17728)
2032032006,1/3/2023,Single Family,24752 W GILMORE ST,LOS ANGELES,CA,91307,12,Selene Finance LP,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.66466,34.18471,POINT (-118.66466 34.18471)
2034007013,2/2/2023,Single Family,24215 W KITTRIDGE ST,LOS ANGELES,CA,91307,12,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.65404,34.19152,POINT (-118.65404 34.19152)
2034019056,1/11/2023,Single Family,6557 N CLEOMOORE AVE,LOS ANGELES,CA,91307,12,Security National Servicing Corp,Eric Moore,877-338-3791,Bron Inc - Amy Lee,Amy Lee,24210   Dandelion CT  Lake Elsinore CA 92532,877-338-3791,-118.65131,34.18975,POINT (-118.65131 34.18975)
2036010020,1/12/2023,Single Family,23353 W VICTORY BLVD,LOS ANGELES,CA,91307,12,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.63647,34.18663,POINT (-118.63647 34.18663)
2036020018,3/3/2023,Single Family,23427 W HAYNES ST,LOS ANGELES,CA,91307,12,Selene Finance,Eric Moore,877-338-3791,SERVICELINK,CLIENT SERVICES,11802   Ridge PKWY 100 Broomfield CO 80021,877-847-8544,-118.63753,34.19002,POINT (-118.63753 34.19002)
2039005059,1/25/2023,Single Family,6201 N SHOUP,LOS ANGELES,CA,91603,3,Selene Finance LP,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.61493,34.18371,POINT (-118.61493 34.18371)
2041002009,1/10/2023,Single Family,23550 W TIARA ST,LOS ANGELES,CA,91367,3,JPMORGAN CHASE BANK N.A.,OPERATIONS SR SPECIALIST I,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.64018,34.17809,POINT (-118.64018 34.17809)
2041004036,1/25/2023,Single Family,23458 W CALIFA ST,LOS ANGELES,CA,91367,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.63843,34.17716,POINT (-118.63843 34.17716)
2042008014,3/24/2023,Single Family,22858 W DOLOROSA ST,LOS ANGELES,CA,91367,3,"LBC Capital Income Fund, LLC",Kirill Pilipenko,818-761-7234,NULL,NULL,,NULL,-118.62539,34.16994,POINT (-118.62539 34.16994)
2042008022,1/11/2023,Single Family,5459 N FALLBROOK AVE,LOS ANGELES,CA,91367,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.62368,34.16989,POINT (-118.62368 34.16989)
2045002011,1/3/2023,Single Family,24301 W CARIS ST,LOS ANGELES,CA,91367,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.65469,34.18049,POINT (-118.65469 34.18049)
2074006028,1/11/2023,Single Family,4835 N BRUGES AVE,LOS ANGELES,CA,91364,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.62533,34.15893,POINT (-118.62533 34.15893)
2075010018,1/11/2023,Single Family,22616 W AVENUE SAN LUIS,LOS ANGELES,CA,91364,3,JPMORGAN CHASE BANK N.A.,OPERATIONS SPECIALIST,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.61853,34.16547,POINT (-118.61853 34.16547)
2075025026,3/7/2023,Single Family,5027 N CALDERON RD,LOS ANGELES,CA,91364,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   HIGHLAND DR  LEWISVILLE TX 75067,813-387-1100,-118.6167,34.16151,POINT (-118.6167 34.16151)
2075034003,1/10/2023,Single Family,5167 N LLANO DR,LOS ANGELES,CA,91364,3,WELL FARGO BANK N.A,Brock Nekvinda,877-617-5274,WELL FARGO BANK NA,Brock Nekvinda,232  E 2ND ST STE G LOS ANGELES CA 90012,877-617-5274,-118.61267,34.16262,POINT (-118.61267 34.16262)
2075038013,2/13/2023,Single Family,22470 W DOMINGO RD,LOS ANGELES,CA,91364,3,Rocket Mortgage LLC,Eric Moore,877-338-3791,ServiceLink,Client Services,10389   Westmoor DR 100 Westminster CO 80021,877-847-8544,-118.61609,34.15918,POINT (-118.61609 34.15918)
2076005016,1/3/2023,Single Family,4828 N REGALO ROAD,LOS ANGELES,CA,91364,3,LoanCare LLC,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.61781,34.15664,POINT (-118.61781 34.15664)
2076005022,2/17/2023,Single Family,4842 N REGALO RD,LOS ANGELES,CA,91364,3,Gregory Funding,MARCUS BROWN,866-712-5698,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.61787,34.1572,POINT (-118.61787 34.1572)
2076008053,1/3/2023,Single Family,4804 N EXCELENTE DR,LOS ANGELES,CA,91364,3,Selene Finance LP,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.61666,34.15603,POINT (-118.61666 34.15603)
2102017090,1/10/2023,Single Family,7820 N CHIMINEAS AVE,LOS ANGELES,CA,91335,4,Celink,Cory Daggett,866-654-0020,J & J BOARD- UPS/FIVE BROTHERS,JAVIER ORTIZ,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.52852,34.21256,POINT (-118.52852 34.21256)
2103014014,1/6/2023,Single Family,18816 W INGOMAR ST,LOS ANGELES,CA,91335,3,FREEDOM MORTGAGE,BYRON GLADDEN,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.5433,34.21181,POINT (-118.5433 34.21181)
2103019017,1/11/2023,Single Family,7806 N RHEA AVE,LOS ANGELES,CA,91335,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.54136,34.21228,POINT (-118.54136 34.21228)
2103022032,1/5/2023,Single Family,18654 W ARMINTA ST,LOS ANGELES,CA,91335,4,Kiavi Funding Inc,Kristin Synan,628-400-9682,Keylink,Jason Dow,375  S Rancho Sante Fe RD  San Marcos CA 92078,760-208-6800,-118.54023,34.21365,POINT (-118.54023 34.21365)
2103023030,2/13/2023,Single Family,18539 W INGOMAR ST,LOS ANGELES,CA,91335,4,Real Time Resolutions,DAVID ROSAS,888-895-0221,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.53767,34.21213,POINT (-118.53767 34.21213)
5422012018,1/30/2023,Vacant Residential,2225 N FAIR OAK VIEW TER,LOS ANGELES,CA,90039,13,"SoCal Vestors, LLC",William Catron,562-754-7680,NULL,NULL,,NULL,-118.25684,34.09422,POINT (-118.25684 34.09422)
2104013037,1/30/2023,Single Family,18924 W KESWICK ST,LOS ANGELES,CA,91335,3,FREEDOM MORTGAGE SERVICES,BYRON GLADDEN,866-563-1100,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.54556,34.21003,POINT (-118.54556 34.21003)
2104016031,2/3/2023,Single Family,7530 N VANALDEN AVE,LOS ANGELES,CA,91335,3,JP Morgan Chase NA,Amy Lott,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.54902,34.2074,POINT (-118.54902 34.2074)
2104028001,1/12/2023,Single Family,7356 N BECKFORD AVE,LOS ANGELES,CA,91335,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.5512,34.20453,POINT (-118.5512 34.20453)
2104035007,1/3/2023,Single Family,19010 W WYANDOTTE ST,LOS ANGELES,CA,91335,3,RUSHMORE LOAN MANAGEMENT SERVICES,Property Preservation,949-341-5601,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.54743,34.2029,POINT (-118.54743 34.2029)
2105003014,1/30/2023,Single Family,19503 W LORNE ST,LOS ANGELES,CA,91335,3,"Del Toro Loan Servicing, Inc.",LaTonya Coleman,619-474-5400,ZVN Properties Inc,Arek Helcberger,957  E Cherry ST  Canal Fulton OH 44614,330-854-5890,-118.55831,34.21689,POINT (-118.55831 34.21689)
2105006025,1/3/2023,Multi-Family,7852 N CORBIN AVE,LOS ANGELES,CA,91335,3,Cenlar FSB,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.56209,34.21352,POINT (-118.56209 34.21352)
2105015004,1/10/2023,Single Family,8037 N TUNNEY AVE,LOS ANGELES,CA,91335,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.55706,34.21661,POINT (-118.55706 34.21661)
2105015006,1/12/2023,Single Family,8051 N TUNNEY AVE,LOS ANGELES,CA,91335,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.55701,34.21695,POINT (-118.55701 34.21695)
2105020014,1/2/2023,Single Family,8228 N CHAMBERLAIN LANE,LOS ANGELES,CA,91335,3,Real Time Resolutions,DAVID ROSAS,888-895-0221,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.55395,34.21953,POINT (-118.55395 34.21953)
2106001032,1/3/2023,Single Family,19927 W CANTARA ST,LOS ANGELES,CA,91306,3,Fay Servicing LLC,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.5676,34.21892,POINT (-118.5676 34.21892)
2106014006,1/12/2023,Single Family,8105 N CORBIN AVE,LOS ANGELES,CA,91306,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.56245,34.21693,POINT (-118.56245 34.21693)
2106017013,1/3/2023,Single Family,8132 N OAKDALE AVE,LOS ANGELES,CA,91306,3,Selene Finance LP,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.56652,34.21759,POINT (-118.56652 34.21759)
2106034004,3/15/2023,Single Family,19839 W LULL ST,LOS ANGELES,CA,91306,3,Selene Finance LP,Eric Moore,877-338-3791,SERVICELINK,CLIENT SERVICES,11802   Ridge PKWY 100 Broomfield CO 80021,877-847-8544,-118.56568,34.20929,POINT (-118.56568 34.20929)
2107006009,1/5/2023,Single Family,20358 W ROSCOE BLVD,LOS ANGELES,CA,91306,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.57744,34.21994,POINT (-118.57744 34.21994)
2108001085,1/6/2023,Single Family,8211 N MASON AVE A-D,LOS ANGELES,CA,91306,3,FREEDOM MORTGAGE,BYRON GLADDEN,866-563-1100,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.58009,34.21873,POINT (-118.58009 34.21873)
2108004016,1/3/2023,Single Family,8108 N LURLINE AVE,LOS ANGELES,CA,91306,3,PHH Mortgage Corporation,Marquita Bullock,561-682-7547,Guardian Asset Management,Colleen McEntee,2300  E Lincoln HWY  Langhorne PA 19047,267-825-0283,-118.58352,34.21716,POINT (-118.58352 34.21716)
2108007004,3/21/2023,Single Family,8201 N LURLINE AVE,LOS ANGELES,CA,91306,3,PNC MORTGAGE PRESALE,JENNIFER SMITH,937-910-1887,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.58384,34.21834,POINT (-118.58384 34.21834)
2108033015,1/18/2023,Single Family,7618 N KELVIN AVE,LOS ANGELES,CA,91306,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,edward zubia,Edward Zubia,3540   willshire BLVD  los angeles CA 90010,213-804-7437,-118.58617,34.20883,POINT (-118.58617 34.20883)
2110013042,2/20/2023,Single Family,7730 N TOPANGA CANYON BLVD,LOS ANGELES,CA,93063,3,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,818-406-3611,-118.60573,34.21153,POINT (-118.60573 34.21153)
2111005018,1/11/2023,Single Family,7502 N REMMET AVE,LOS ANGELES,CA,91303,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.60016,34.20667,POINT (-118.60016 34.20667)
2111007012,1/13/2023,Single Family,7422 N REMMET AVE,LOS ANGELES,CA,91303,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.60016,34.20531,POINT (-118.60016 34.20531)
2112013022,3/24/2023,Single Family,7448 N INDEPENDENCE AVE,LOS ANGELES,CA,91303,3,JPMORGAN CHASE BANK NA,MORTGAGE SERVICES,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.59049,34.20601,POINT (-118.59049 34.20601)
2112030064,3/1/2023,Single Family,21021 W GAULT ST,LOS ANGELES,CA,91303,3,R. C. Temme Corporation,Kathryn Dyrness,818-999-2274,R. C. Temme Corporation,Kathryn Dyrness,21777   Ventura Blvd  201 Woodland Hills CA 91364,818-206-2336,-118.59131,34.19933,POINT (-118.59131 34.19933)
2113004008,1/3/2023,Single Family,20616 W COVELLO ST,LOS ANGELES,CA,91306,3,LoanCare LLC,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.5825,34.2073,POINT (-118.5825 34.2073)
2113013101,2/28/2023,Single Family,7344 N DE SOTO AVE,LOS ANGELES,CA,91303,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.58825,34.20402,POINT (-118.58825 34.20402)
5422012019,1/30/2023,Vacant Residential,2219 N FAIR OAK VIEW TER,LOS ANGELES,CA,90039,13,"SoCal Vestors, LLC",William Catron,562-754-7680,NULL,NULL,,NULL,-118.25692,34.09408,POINT (-118.25692 34.09408)
2113016005,1/23/2023,Single Family,20657 W LEADWELL ST,LOS ANGELES,CA,91306,3,CARRINGTON MORTGAGE SERVICES LLC,MORTGAGE SERVICES,866-563-1100,Greenfield Property LLC,MCS LLC,4033   Stable Drive   Palmdale CA 93552,866-563-1100,-118.58385,34.20397,POINT (-118.58385 34.20397)
2113018020,1/11/2023,Single Family,20608 W CANTLAY ST,LOS ANGELES,CA,91306,3,JPMORGAN CHASE BANK N.A.,OPERATIONS SPECIALIST,888-310-1506,Greenfield Property LLC,Code Compliance,4033   Stable DR  Palmdale CA 93552,866-563-1100,-118.58234,34.20214,POINT (-118.58234 34.20214)
2114006093,1/13/2023,Single Family,7521 N WINNETKA AVE,LOS ANGELES,CA,91306,3,Specialized Loan Servicing LLC C/O Computershare on behalf of beneficiary,Computershare Management,720-241-7375,Genstone Realty,Mark Giltner,15338   Central AVE  Chino CA 91710,909-261-5415,-118.57121,34.20656,POINT (-118.57121 34.20656)
2114012111,3/29/2023,Single Family,20119 W LEADWELL ST,LOS ANGELES,CA,91306,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Cyprexx - Physical Address,Code Compliance,525   Grand Regency BLVD  Brandon FL 33510,813-387-5891,-118.57158,34.2036,POINT (-118.57158 34.2036)
2115006023,3/7/2023,Single Family,7445 N OAKDALE AVE,LOS ANGELES,CA,91306,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Guardian Asset Management,Vendor Management,2021   Hartel ST  Leviitown PA 19057,888-872-9094,-118.56721,34.206,POINT (-118.56721 34.206)
2115010003,1/24/2023,Single Family,7244 N MADORA AVE,LOS ANGELES,CA,91306,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.56607,34.20258,POINT (-118.56607 34.20258)
2115011026,1/3/2023,Single Family,19825 W LEADWELL ST,LOS ANGELES,CA,91306,3,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.56504,34.20407,POINT (-118.56504 34.20407)
2115015022,3/10/2023,Single Family,7501 N JUMILLA AVE,LOS ANGELES,CA,91306,3,PHH Mortgage Corporation,Marquita Bullock,888-820-6474,Pacific Star Contracting Services Inc,April Soto,15400   Belgrade Street 86 ST  WESTMINSTER CA 92683,631-806-2657,-118.56347,34.20619,POINT (-118.56347 34.20619)
2116002075,1/11/2023,Single Family,19545  SHERMAN,LOS ANGELES,CA,91335,3,FMC TD Investments,Andrew Dioli,888-910-5752,ZVN Properties Inc,Arek Helcberger,957  E Cherry ST  Canal Fulton OH 44614,330-854-5890,-118.55802,34.20268,POINT (-118.55802 34.20268)
2116006071,1/3/2023,Single Family,7465 N SHIRLEY AVE,LOS ANGELES,CA,91335,3,Select Portfolio Servicing,Select Portfolio Servicing,888-349-8964,Edward Zubia,edaward zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,-118.5581,34.20644,POINT (-118.5581 34.20644)
2116008035,1/3/2023,Single Family,7753 N BOTHWELL ROAD,LOS ANGELES,CA,91335,3,LoanCare LLC,Eric Moore,877-338-3791,Safeguard,Code Compliance,27720   Jefferson AVE  Temecula CA 92590,877-338-3791,-118.56137,34.21172,POINT (-118.56137 34.21172)
